Generated by Byte Software
Provided by byt3c0de.net


Rebirth: 4, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 4
Rebirth: 2549, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 119
Rebirth: 2599, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 117
Rebirth: 2639, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 128
Rebirth: 2749, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 40
Rebirth: 2799, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 42
Rebirth: 2804, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 132
Rebirth: 2849, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 126
Rebirth: 2869, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 123
Rebirth: 2899, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 145
Rebirth: 2924, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 156
Rebirth: 2974, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 136
Rebirth: 2999, Orb Type: Yellow, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 54
Rebirth: 3009, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 126
Rebirth: 3079, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 21
Rebirth: 3099, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 150
Rebirth: 3119, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 48
Rebirth: 3149, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 162
Rebirth: 3199, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 45
Rebirth: 3299, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 132
Rebirth: 3329, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 144
Rebirth: 3399, Orb Type: Yellow, City: Magma City, Pet Type: Basic, Glitch Speed: 17
Rebirth: 3449, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 135
Rebirth: 3499, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 140
Rebirth: 3514, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 148
Rebirth: 3519, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 160
Rebirth: 3599, Orb Type: Yellow, City: Snow City, Pet Type: Rare, Glitch Speed: 32
Rebirth: 3624, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 174
Rebirth: 3639, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 52
Rebirth: 3679, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 23
Rebirth: 3704, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 152
Rebirth: 3739, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 165
Rebirth: 3749, Orb Type: Yellow, City: Legends Highway, Pet Type: Unique, Glitch Speed: 54
Rebirth: 3759, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 141
Rebirth: 3799, Orb Type: Yellow, City: Magma City, Pet Type: Basic, Glitch Speed: 18
Rebirth: 3849, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 147
Rebirth: 3874, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 180
Rebirth: 3899, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 156
Rebirth: 3919, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 144
Rebirth: 3999, Orb Type: Yellow, City: Magma City, Pet Type: Unique, Glitch Speed: 48
Rebirth: 4079, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 51
Rebirth: 4099, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 160
Rebirth: 4159, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 60
Rebirth: 4199, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 175
Rebirth: 4304, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 164
Rebirth: 4399, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 192
Rebirth: 4439, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 180
Rebirth: 4499, Orb Type: Yellow, City: Snow City, Pet Type: Rare, Glitch Speed: 36
Rebirth: 4514, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 168
Rebirth: 4549, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 52
Rebirth: 4559, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 54
Rebirth: 4599, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 161
Rebirth: 4674, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 198
Rebirth: 4679, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 26
Rebirth: 4729, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 172
Rebirth: 4799, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 60
Rebirth: 4939, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 190
Rebirth: 4949, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 176
Rebirth: 4999, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 168
Rebirth: 5039, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 27
Rebirth: 5099, Orb Type: Yellow, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 51
Rebirth: 5174, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 180
Rebirth: 5199, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 195
Rebirth: 5249, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 210
Rebirth: 5404, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 184
Rebirth: 5439, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 64
Rebirth: 5499, Orb Type: Yellow, City: Legends Highway, Pet Type: Unique, Glitch Speed: 66
Rebirth: 5549, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 216
Rebirth: 5599, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 70
Rebirth: 5639, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 188
Rebirth: 5699, Orb Type: Yellow, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 54
Rebirth: 5739, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 205
Rebirth: 5799, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 29
Rebirth: 5849, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 182
Rebirth: 5879, Orb Type: Ethereal, City: Magma City, Pet Type: Rare, Glitch Speed: 192
Rebirth: 5999, Orb Type: Yellow, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 63
Rebirth: 6019, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 210
Rebirth: 6119, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 68
Rebirth: 6159, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 63
Rebirth: 6174, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 228
Rebirth: 6199, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 30
Rebirth: 6299, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 189
Rebirth: 6399, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 75
Rebirth: 6499, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 234
Rebirth: 6599, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 220
Rebirth: 6799, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 64
Rebirth: 6839, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 72
Rebirth: 6899, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 225
Rebirth: 6999, Orb Type: Yellow, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 84
Rebirth: 7039, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 32
Rebirth: 7174, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 246
Rebirth: 7199, Orb Type: Yellow, City: City, Pet Type: Rare, Glitch Speed: 32
Rebirth: 7249, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 203
Rebirth: 7359, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 69
Rebirth: 7479, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 33
Rebirth: 7499, Orb Type: Yellow, City: Legends Highway, Pet Type: Omega, Glitch Speed: 63
Rebirth: 7519, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 235
Rebirth: 7524, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 252
Rebirth: 7599, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 76
Rebirth: 7649, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 68
Rebirth: 7699, Orb Type: Yellow, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 63
Rebirth: 7749, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 210
Rebirth: 7799, Orb Type: Yellow, City: Snow City, Pet Type: Rare, Glitch Speed: 48
Rebirth: 7839, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 240
Rebirth: 7999, Orb Type: Yellow, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 90
Rebirth: 8159, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 85
Rebirth: 8249, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 264
Rebirth: 8399, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 80
Rebirth: 8549, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 72
Rebirth: 8624, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 270
Rebirth: 8749, Orb Type: Yellow, City: Legends Highway, Pet Type: Unique, Glitch Speed: 84
Rebirth: 8799, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 224
Rebirth: 8879, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 36
Rebirth: 8999, Orb Type: Yellow, City: City, Pet Type: Rare, Glitch Speed: 36
Rebirth: 9099, Orb Type: Yellow, City: Snow City, Pet Type: Rare, Glitch Speed: 52
Rebirth: 9119, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 90
Rebirth: 9199, Orb Type: Yellow, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 69
Rebirth: 9239, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 84
Rebirth: 9349, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 231
Rebirth: 9359, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 78
Rebirth: 9399, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 282
Rebirth: 9499, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 76
Rebirth: 9599, Orb Type: Yellow, City: City, Pet Type: Epic, Glitch Speed: 40
Rebirth: 9799, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 288
Rebirth: 9879, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 38
Rebirth: 9999, Orb Type: Yellow, City: Legends Highway, Pet Type: Unique, Glitch Speed: 90
Rebirth: 10079, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 81
Rebirth: 10119, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 88
Rebirth: 10199, Orb Type: Yellow, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 102
Rebirth: 10399, Orb Type: Yellow, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 84
Rebirth: 10499, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 245
Rebirth: 10999, Orb Type: Yellow, City: Legends Highway, Pet Type: Omega, Glitch Speed: 77
Rebirth: 11039, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 92
Rebirth: 11099, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 252
Rebirth: 11199, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 100
Rebirth: 11399, Orb Type: Yellow, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 108
Rebirth: 11479, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 41
Rebirth: 11549, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 84
Rebirth: 11599, Orb Type: Yellow, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 87
Rebirth: 11699, Orb Type: Yellow, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 78
Rebirth: 11999, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 96
Rebirth: 12039, Orb Type: Yellow, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 42
Rebirth: 12319, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 105
