Generated by Byte Software
Provided by byt3c0de.net


Rebirth: 4, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 4
Rebirth: 699, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 120
Rebirth: 701, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 104
Rebirth: 703, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 96
Rebirth: 719, Orb Type: Red, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 32
Rebirth: 724, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 87
Rebirth: 735, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 115
Rebirth: 739, Orb Type: Ethereal, City: Magma City, Pet Type: Basic, Glitch Speed: 36
Rebirth: 747, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 99
Rebirth: 749, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 96
Rebirth: 751, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 47
Rebirth: 755, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 108
Rebirth: 759, Orb Type: Ethereal, City: Magma City, Pet Type: Epic, Glitch Speed: 90
Rebirth: 764, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 68
Rebirth: 769, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 126
Rebirth: 774, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 90
Rebirth: 779, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 78
Rebirth: 783, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Basic, Glitch Speed: 48
Rebirth: 799, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 120
Rebirth: 811, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 112
Rebirth: 824, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 44
Rebirth: 839, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 105
Rebirth: 849, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 102
Rebirth: 854, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 72
Rebirth: 869, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 116
Rebirth: 874, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 120
Rebirth: 879, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 96
Rebirth: 887, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 108
Rebirth: 899, Orb Type: Red, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 36
Rebirth: 909, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 52
Rebirth: 919, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 138
Rebirth: 929, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 120
Rebirth: 934, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 99
Rebirth: 935, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 130
Rebirth: 939, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 47
Rebirth: 944, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 108
Rebirth: 949, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 108
Rebirth: 959, Orb Type: Red, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 40
Rebirth: 979, Orb Type: Ethereal, City: Legends Highway, Pet Type: Basic, Glitch Speed: 48
Rebirth: 987, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 114
Rebirth: 991, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 124
Rebirth: 999, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 144
Rebirth: 1007, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 135
Rebirth: 1014, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 112
Rebirth: 1019, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 119
Rebirth: 1039, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 117
Rebirth: 1049, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 105
Rebirth: 1055, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 128
Rebirth: 1099, Orb Type: Ethereal, City: Snow City, Pet Type: Omega, Glitch Speed: 77
Rebirth: 1109, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 108
Rebirth: 1119, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 30
Rebirth: 1121, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 132
Rebirth: 1124, Orb Type: Red, City: Legends Highway, Pet Type: Rare, Glitch Speed: 36
Rebirth: 1139, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 126
Rebirth: 1147, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 123
Rebirth: 1149, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 138
Rebirth: 1154, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 84
Rebirth: 1159, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 145
Rebirth: 1169, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 156
Rebirth: 1189, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 136
Rebirth: 1199, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 60
Rebirth: 1203, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 126
Rebirth: 1234, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 114
Rebirth: 1239, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 150
Rebirth: 1249, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 144
Rebirth: 1259, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 162
Rebirth: 1264, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 88
Rebirth: 1274, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 119
Rebirth: 1299, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 117
Rebirth: 1319, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 132
Rebirth: 1331, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 144
Rebirth: 1359, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 64
Rebirth: 1374, Orb Type: Red, City: Legends Highway, Pet Type: Rare, Glitch Speed: 40
Rebirth: 1379, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 135
Rebirth: 1399, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 140
Rebirth: 1405, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 148
Rebirth: 1407, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 160
Rebirth: 1424, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 126
Rebirth: 1434, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 123
Rebirth: 1439, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 32
Rebirth: 1449, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 174
Rebirth: 1479, Orb Type: Ethereal, City: Magma City, Pet Type: Advanced, Glitch Speed: 108
Rebirth: 1481, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 152
Rebirth: 1495, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 165
Rebirth: 1499, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 96
Rebirth: 1503, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 141
Rebirth: 1504, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 126
Rebirth: 1529, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 68
Rebirth: 1539, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 147
Rebirth: 1549, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 180
Rebirth: 1559, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 156
Rebirth: 1567, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Advanced, Glitch Speed: 144
Rebirth: 1574, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 162
Rebirth: 1599, Orb Type: Ethereal, City: City, Pet Type: Epic, Glitch Speed: 75
Rebirth: 1624, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 100
Rebirth: 1639, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 160
Rebirth: 1649, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 132
Rebirth: 1664, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 144
Rebirth: 1679, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 175
Rebirth: 1699, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 119
Rebirth: 1709, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 72
Rebirth: 1721, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 164
Rebirth: 1724, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 135
Rebirth: 1749, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 140
Rebirth: 1754, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 104
Rebirth: 1759, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 192
Rebirth: 1775, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 180
Rebirth: 1799, Orb Type: Yellow, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 36
Rebirth: 1805, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 168
Rebirth: 1819, Orb Type: Red, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 52
Rebirth: 1839, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 161
Rebirth: 1869, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 198
Rebirth: 1874, Orb Type: Red, City: Legends Highway, Pet Type: Unique, Glitch Speed: 54
Rebirth: 1879, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 141
Rebirth: 1889, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 108
Rebirth: 1891, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 172
Rebirth: 1899, Orb Type: Ethereal, City: Magma City, Pet Type: Omega, Glitch Speed: 126
Rebirth: 1919, Orb Type: Yellow, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 40
Rebirth: 1924, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 147
Rebirth: 1949, Orb Type: Ethereal, City: Magma City, Pet Type: Unique, Glitch Speed: 156
Rebirth: 1959, Orb Type: Ethereal, City: Legends Highway, Pet Type: Advanced, Glitch Speed: 144
Rebirth: 1975, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 190
Rebirth: 1979, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 176
Rebirth: 1999, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 168
Rebirth: 2029, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 112
Rebirth: 2039, Orb Type: Ethereal, City: City, Pet Type: Epic, Glitch Speed: 85
Rebirth: 2049, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 160
Rebirth: 2069, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 180
Rebirth: 2079, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 195
Rebirth: 2099, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 210
Rebirth: 2161, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 184
Rebirth: 2174, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 116
Rebirth: 2199, Orb Type: Ethereal, City: Legends Highway, Pet Type: Unique, Glitch Speed: 192
Rebirth: 2219, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 216
Rebirth: 2249, Orb Type: Yellow, City: Legends Highway, Pet Type: Rare, Glitch Speed: 36
Rebirth: 2255, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 188
Rebirth: 2274, Orb Type: Red, City: Legends Highway, Pet Type: Rare, Glitch Speed: 52
Rebirth: 2279, Orb Type: Ethereal, City: City, Pet Type: Epic, Glitch Speed: 90
Rebirth: 2295, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 205
Rebirth: 2299, Orb Type: Ethereal, City: Legends Highway, Pet Type: Omega, Glitch Speed: 161
Rebirth: 2309, Orb Type: Ethereal, City: City, Pet Type: Rare, Glitch Speed: 84
Rebirth: 2324, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 120
Rebirth: 2339, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Omega, Glitch Speed: 182
Rebirth: 2351, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 192
Rebirth: 2364, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 172
Rebirth: 2399, Orb Type: Red, City: Speed Jungle, Pet Type: Rare, Glitch Speed: 60
Rebirth: 2407, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Epic, Glitch Speed: 210
Rebirth: 2469, Orb Type: Ethereal, City: Speed Jungle, Pet Type: Unique, Glitch Speed: 228
Rebirth: 2474, Orb Type: Ethereal, City: Legends Highway, Pet Type: Rare, Glitch Speed: 176
Rebirth: 2479, Orb Type: Ethereal, City: Snow City, Pet Type: Rare, Glitch Speed: 124
